timestamp,open,high,low,close,volume
1752184800000,163.86,165.41,163.35,164.71,99278.616689
1752188400000,164.72,165.22,163.3,164.34,59564.751896
1752192000000,164.37,164.4,161.96,163.07,44676.20653
1752195600000,163.07,164.8,162.97,164.52,58207.30845
1752199200000,164.51,165.26,164.09,165.02,70313.362578
1752202800000,165,165.5,164.03,165.29,190174.475908
1752206400000,165.3,165.34,164.07,165.05,39390.030637
1752210000000,165.04,166.86,164.96,165.3,83547.053827
1752213600000,165.3,166.01,163.47,163.64,61801.346542
1752217200000,163.64,164.31,163.15,163.26,47442.588367
1752220800000,163.27,164.06,163.27,163.9,28625.741933
1752224400000,163.89,165.38,163.66,164.81,40019.341254
1752228000000,164.84,165.24,164.21,164.82,26053.294476
1752231600000,164.83,165.07,163.62,163.88,23840.797555
1752235200000,163.88,165.23,163.32,165.23,52961.912881
1752238800000,165.22,166.92,164.29,166.4,92490.531151
1752242400000,166.4,168.21,165.44,166.65,120404.072972
1752246000000,166.65,166.87,161.77,162.33,218964.746345
1752249600000,162.35,163.24,161.27,163.23,132870.779807
1752253200000,163.22,164.49,163,164.49,44664.900542
1752256800000,164.48,165.04,163.61,164.4,25026.848924
1752260400000,164.4,164.63,163.27,164.59,30998.478129
1752264000000,164.59,164.86,162.64,162.75,29452.990354
1752267600000,162.75,163.12,161.37,162.14,55263.460381
1752271200000,162.13,162.62,159.52,161.67,93623.56405
1752274800000,161.65,162.97,161.61,162.94,17145.655607
1752278400000,162.92,163.4,161.8,163.01,39909.954258
1752282000000,163.04,163.82,163.02,163.44,20402.204231
1752285600000,163.44,163.9,162.86,162.96,17191.582151
1752289200000,162.96,163.65,162.83,163.45,31063.258791
1752292800000,163.45,163.63,162.24,162.51,18782.835993
1752296400000,162.52,163.18,162,163,19554.561241
1752300000000,163,163.61,162.43,163.45,13762.094166
1752303600000,163.45,163.85,162.74,163.19,20337.195519
1752307200000,163.19,163.41,162.11,162.63,222185.019933
1752310800000,162.62,162.97,162.24,162.63,13795.887245
1752314400000,162.62,163.14,162.28,162.99,20331.370429
1752318000000,162.99,163.02,161.39,161.59,27514.358774
1752321600000,161.6,161.78,158.74,159.82,68237.410157
1752325200000,159.81,159.82,158.32,159.7,65785.897661
1752328800000,159.71,160.48,158.84,159.12,43055.814024
1752332400000,159.11,159.59,157.77,158.14,74714.426585
1752336000000,158.14,159.48,157.9,158.76,29637.723226
1752339600000,158.75,160.63,158.69,160.48,28271.7832
1752343200000,160.47,160.72,159.79,160.29,50341.252517
1752346800000,160.3,160.76,160.21,160.73,13025.473774
1752350400000,160.73,160.78,159,159,10145.556672
1752354000000,158.99,160.63,158.96,160.59,18204.197388
1752357600000,160.6,160.66,159.63,160.44,16801.40373
1752361200000,160.43,160.93,159.88,160.7,11451.919768
1752364800000,160.7,161.75,160.18,160.9,28029.099153
1752368400000,160.92,161.74,160.78,161.51,13543.723985
1752372000000,161.5,161.77,160.64,161.4,14866.612103
1752375600000,161.43,161.49,160.82,161.19,15396.160274
1752379200000,161.21,162.16,161.03,162,126258.08627
1752382800000,162,162.32,161.34,161.39,76235.193409
1752386400000,161.4,162.17,161.29,161.62,15563.291685
1752390000000,161.62,162.83,161.47,162.67,81339.645281
1752393600000,162.68,162.77,161.66,162.23,24757.446587
1752397200000,162.25,162.5,161.61,161.92,10113.327501
1752400800000,161.92,162.09,161.6,161.82,8583.217982
1752404400000,161.83,162.72,161.55,162.02,234650.236798
1752408000000,162.02,162.85,161.75,162.63,32843.09444
1752411600000,162.64,162.98,161.93,162.91,28427.109666
1752415200000,162.89,164.16,162.33,162.78,67815.944985
1752418800000,162.79,163.45,161.83,162.02,34882.091972
1752422400000,162.03,162.45,160.89,160.92,34305.779048
1752426000000,160.93,162.77,160.51,162.65,27483.643393
1752429600000,162.67,163.26,162.38,163.05,14837.964448
1752433200000,163.05,163.53,162.5,162.54,20768.493591
1752436800000,162.55,163.06,161.95,162.57,10327.229303
1752440400000,162.58,162.58,160.12,160.55,33539.763996
1752444000000,160.54,161.11,159.64,160.8,33610.032459
1752447600000,160.8,161.44,160.3,161.15,20728.249287
1752451200000,161.16,162.3,160.62,161.68,17517.753716
1752454800000,161.68,162.86,161.48,162.8,21532.503309
1752458400000,162.8,165.47,162.62,164.91,90122.767951
1752462000000,164.91,168.25,164.69,167.07,153874.697688
1752465600000,167.08,167.89,166.73,167.48,155770.399202
1752469200000,167.49,168.66,165.46,166.78,124983.195544
1752472800000,166.78,166.82,165.36,165.71,59207.365991
1752476400000,165.7,168,165.67,167.26,78305.339879
1752480000000,167.28,167.5,166.05,167.45,35803.90249
1752483600000,167.46,168.13,167.02,167.38,49919.166814
1752487200000,167.38,167.68,166.48,167.57,51550.657536
1752490800000,167.57,167.67,166.32,166.55,41351.576315
1752494400000,166.54,167.41,166.4,166.92,24929.64995
1752498000000,166.94,168.49,166.2,167.93,64293.01536
1752501600000,167.93,168.63,165.44,166.71,94724.395812
1752505200000,166.71,166.71,163.04,163.95,111516.49501
1752508800000,163.95,165.34,163.31,165.24,60438.195228
1752512400000,165.25,165.25,163.54,164.33,27457.274688
1752516000000,164.34,164.49,162.62,162.71,45315.973584
1752519600000,162.7,164.28,162.41,164.25,30790.421086
1752523200000,164.26,164.26,161.91,162.97,25851.056807
1752526800000,162.96,162.96,162.18,162.5,18753.189629
1752530400000,162.5,162.77,161.77,162.32,24976.803091
1752534000000,162.31,162.42,161.68,162.22,17395.01806
1752537600000,162.22,162.92,161.16,161.39,34926.866202
1752541200000,161.41,162.36,160.33,161.1,51804.443649
1752544800000,161.11,161.54,159.13,160.57,87491.689121
1752548400000,160.55,160.7,158.16,159.13,87274.192763
1752552000000,159.13,160.21,158.24,160.11,48971.194846
1752555600000,160.1,160.58,159.81,160.25,16059.800641
1752559200000,160.24,160.86,159.99,160.38,25702.495409
1752562800000,160.39,160.71,159.35,159.53,25592.075738
1752566400000,159.54,159.61,158.36,159.2,34862.902707
1752570000000,159.2,159.92,159.05,159.09,15635.046507
1752573600000,159.09,159.84,159.05,159.54,13681.261946
1752577200000,159.53,160.13,158.93,159.83,17028.182745
1752580800000,159.87,161.01,158.32,159.89,73758.415457
1752584400000,159.88,162.05,159.71,161.24,84379.710632
1752588000000,161.25,162.17,157.22,157.78,122395.957189
1752591600000,157.79,160.94,157.31,160.46,76334.088208
1752595200000,160.48,161.59,160.27,160.98,59760.700117
1752598800000,160.95,162.85,160.86,162.8,43744.438493
1752602400000,162.8,163.7,160.81,161.89,213275.729168
1752606000000,161.88,162.9,159.97,160.25,50560.763182
1752609600000,160.24,161.28,159.64,160.71,25724.990977
1752613200000,160.7,162.68,160.57,161.93,34122.796108
1752616800000,161.94,162.56,161.39,162.56,24220.987642
1752620400000,162.56,164.29,162.56,164.01,57817.099859
1752624000000,164,165.27,163.56,164.76,45119.003273
1752627600000,164.76,164.8,163.78,163.92,38469.104311
1752631200000,163.92,164.11,161.53,162.11,62279.237583
1752634800000,162.12,162.78,161.9,162.51,17238.260242
1752638400000,162.53,162.87,161.8,162.47,22115.275849
1752642000000,162.47,163.54,162.47,163.17,19386.832138
1752645600000,163.17,164.11,162.6,164.09,36653.528448
1752649200000,164.1,164.64,163.6,164.05,26620.275305
1752652800000,164.04,165.61,163.78,165.5,36564.895397
1752656400000,165.51,167.58,165.48,167.25,138775.083455
1752660000000,167.26,167.45,165.96,166,55410.836014
1752663600000,165.99,166.85,165.99,166.65,40491.147069
1752667200000,166.65,167.46,166.51,166.56,43054.673744
1752670800000,166.59,167.35,166.2,167.29,106492.268451
1752674400000,167.29,167.97,166.62,167.54,139257.768417
1752678000000,167.55,168.85,165.38,168.43,148652.156413
1752681600000,168.43,173.29,168.39,172.55,277932.525704
1752685200000,172.55,174.63,172.08,173.64,159813.426462
1752688800000,173.65,174.72,172.97,173.4,125254.78957
1752692400000,173.41,174.5,172.57,174.17,89182.911356
1752696000000,174.16,175.1,173.79,174.68,150591.72943
1752699600000,174.69,176.05,173.91,174.47,69695.870883
