SQUEEZE_PERCENTILE,SQUEEZE_LOOKBACK,BREAKOUT_BARS,BREAKOUT_THRESHOLD,ATR_MULTIPLIER,TP_RATIO,RISK_PER_TRADE,total_return,win_rate,profit_factor,max_drawdown,total_trades,final_balance,score
25,20,1,0.003,2.0,2.0,0.01,3.994186911357392,39.130434782608695,1.2859654817347188,3.878024000245397,23,10399.41869113574,42.17
30,20,2,0.005,1.5,3.0,0.02,12.374191870092545,33.33333333333333,1.5263783972660847,9.306237521560186,18,11237.419187009255,42.16
20,20,3,0.002,2.0,4.0,0.02,16.350430136580087,26.666666666666668,1.381590202920065,7.996378153712066,30,11635.043013658009,42.14
20,20,3,0.003,2.0,4.0,0.02,16.350430136580087,26.666666666666668,1.381590202920065,7.996378153712066,30,11635.043013658009,42.14
15,20,2,0.003,1.5,4.0,0.02,22.215731177484322,24.561403508771928,1.291370815145791,13.959602004829197,57,12221.573117748432,42.07
25,20,1,0.002,2.0,2.0,0.02,6.444805421177498,39.130434782608695,1.2312278166117079,7.526420271271622,23,10644.48054211775,42.06
25,20,1,0.003,2.0,2.0,0.02,6.444805421177498,39.130434782608695,1.2312278166117079,7.526420271271622,23,10644.48054211775,42.06
30,20,2,0.002,1.5,3.0,0.01,6.99613164214863,35.294117647058826,1.6374936331208867,4.447479881669972,17,10699.613164214863,42.05
30,20,2,0.003,1.5,3.0,0.01,6.99613164214863,35.294117647058826,1.6374936331208867,4.447479881669972,17,10699.613164214863,42.05
30,20,2,0.005,1.5,2.0,0.02,5.683789834327635,38.095238095238095,1.2210599067906225,5.584195037718012,21,10568.378983432764,42.03
20,20,2,0.002,2.0,4.0,0.01,12.940269064952718,28.125,1.5653930041660444,5.996973350694134,32,11294.026906495272,41.81
20,20,2,0.003,2.0,4.0,0.01,12.940269064952718,28.125,1.5653930041660444,5.996973350694134,32,11294.026906495272,41.81
20,20,3,0.002,1.5,3.0,0.01,10.950265996182043,30.612244897959183,1.3253211003033802,5.960001426215093,49,11095.026599618204,41.78
20,20,3,0.003,1.5,3.0,0.01,10.950265996182043,30.612244897959183,1.3253211003033802,5.960001426215093,49,11095.026599618204,41.78
30,20,2,0.005,1.5,2.0,0.01,2.9997676126043187,38.095238095238095,1.231415302975102,2.8153601139312254,21,10299.976761260432,41.78
30,20,3,0.002,2.0,5.0,0.01,9.996358450581575,28.57142857142857,2.00112277884788,3.499611068684335,14,10999.635845058157,41.52
30,20,3,0.005,2.0,5.0,0.01,9.996358450581575,28.57142857142857,2.00112277884788,3.499611068684335,14,10999.635845058157,41.52
